timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-20 16:06:33,CAMARA_01_CARNES,12.3,-17.9,15.0,0.767,3.48,44.4,5.17,17.994,0.291,NORMAL
2025-12-20 16:06:33,CAMARA_02_LACTEOS,12.3,4.0,17.1,0.726,6.94,38.5,1.846,12.8,0.182,NORMAL
2025-12-20 16:06:33,CAMARA_03_VERDURAS,12.3,3.8,15.0,0.766,8.08,34.7,1.614,13.047,0.166,NORMAL
2025-12-20 17:06:33,CAMARA_01_CARNES,15.8,-18.5,15.0,0.744,3.06,50.1,5.679,17.389,0.315,NORMAL
2025-12-20 17:06:33,CAMARA_02_LACTEOS,15.8,4.0,15.0,0.722,6.49,40.4,1.947,12.643,0.192,NORMAL
2025-12-20 17:06:33,CAMARA_03_VERDURAS,15.8,4.3,15.0,0.756,6.8,39.3,1.858,12.643,0.192,NORMAL
2025-12-20 18:06:33,CAMARA_01_CARNES,14.4,-18.4,15.0,0.726,3.11,49.5,5.678,17.632,0.305,NORMAL
2025-12-20 18:06:33,CAMARA_02_LACTEOS,14.4,4.0,19.6,0.74,5.83,43.8,2.104,12.273,0.215,NORMAL
2025-12-20 18:06:33,CAMARA_03_VERDURAS,14.4,3.5,15.0,0.73,6.98,38.4,1.834,12.805,0.181,NORMAL
2025-12-20 19:06:33,CAMARA_01_CARNES,14.4,-18.2,17.0,0.738,2.99,51.2,5.785,17.285,0.319,NORMAL
2025-12-20 19:06:33,CAMARA_02_LACTEOS,14.4,4.2,15.0,0.753,7.21,37.7,1.777,12.805,0.181,NORMAL
2025-12-20 19:06:33,CAMARA_03_VERDURAS,14.4,3.6,15.0,0.763,7.3,37.4,1.753,12.805,0.181,NORMAL
2025-12-20 20:06:33,CAMARA_01_CARNES,12.3,-17.6,15.0,0.769,3.49,44.3,5.156,17.994,0.291,NORMAL
2025-12-20 20:06:33,CAMARA_02_LACTEOS,12.3,3.9,15.0,0.755,7.96,35.0,1.638,13.047,0.166,NORMAL
